element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary,config
O,1.7333333333333336,1.3388888888888888,0.0,0.1,3.74,,,damage-only,2.183361832260669,0.4452661504998037,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,1.7333333333333336,1.5,0.0,0.1,3.58,,,damage-only,2.282263785917506,0.6912219520229106,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,0.05,0.0,0.1,,,,no-transition,0.28560075427428483,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,0.21111111111111108,0.0,0.1,,,,no-transition,0.964418324823539,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,0.3722222222222222,0.0,0.1,,,,no-transition,1.457194138345909,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,0.5333333333333333,0.0,0.1,,,,no-transition,1.8458188504572617,0.0026487410848137403,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,0.6944444444444444,0.0,0.1,3.7,,,damage-only,2.165313670908453,0.2574033738666687,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,0.8555555555555555,0.0,0.1,3.46,,,damage-only,2.4350673964362604,0.6987444839296076,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,1.0166666666666666,0.0,0.1,3.29,,,damage-only,2.6667303169958707,1.2509335849137446,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,1.1777777777777778,0.0,0.1,3.14,,,damage-only,2.8676669345010852,1.8779694443702675,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,1.3388888888888888,0.0,0.1,2.99,,,damage-only,3.0427543570204887,2.554681644800537,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.277777777777778,1.5,0.0,0.1,2.84,,,damage-only,3.1956071387382288,3.2614027612454164,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,0.05,0.0,0.1,,,,no-transition,0.3543629195781054,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,0.21111111111111108,0.0,0.1,,,,no-transition,1.2061360114853823,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,0.3722222222222222,0.0,0.1,,,,no-transition,1.836643906288192,0.0006886735336504966,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,2.8222222222222224,0.5333333333333333,0.0,0.1,3.49,,,damage-only,2.3431089645232066,0.40092602085014956,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
