element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary
O,3.2500000000000004,0.05,0.0,0.1,,,,no-transition,0.4084978491594384,0.0,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.15357142857142858,0.0,0.1,,,,no-transition,1.0831497701287192,0.0,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.2571428571428571,0.0,0.1,,,,no-transition,1.6289113598479326,0.0,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.3607142857142857,0.0,0.1,3.71,,,damage-only,2.0933669906629957,0.11718304096917026,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.46428571428571425,0.0,0.1,3.39,,,damage-only,2.499722927702008,0.5417278462242038,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.5678571428571428,0.0,0.1,3.2600000000000002,,,damage-only,2.8615954044844814,1.1462240358925033,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.6714285714285715,0.0,0.1,3.14,,,damage-only,3.1880522865285403,1.8809804778759278,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.775,0.0,0.1,3.0300000000000002,3.77,-0.7399999999999998,damage-before-nonreturn,3.4854361157125116,2.7171579068401823,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.8785714285714286,0.0,0.1,2.92,3.49,-0.5700000000000003,damage-before-nonreturn,3.758313181814541,3.635334960419915,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,0.9821428571428571,0.0,0.1,2.81,3.35,-0.54,damage-before-nonreturn,4.010042548535477,4.620880255483691,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,1.0857142857142856,0.0,0.1,2.7,3.24,-0.54,damage-before-nonreturn,4.243081934784729,5.661566026036102,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,1.1892857142857143,0.0,0.1,2.59,3.14,-0.5500000000000003,damage-before-nonreturn,4.45916714611527,6.746293110704796,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,1.292857142857143,0.0,0.1,2.47,3.04,-0.5699999999999998,damage-before-nonreturn,4.659673091513519,7.864644496732204,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,1.3964285714285714,0.0,0.1,2.36,2.95,-0.5900000000000003,damage-before-nonreturn,4.84570682546887,9.006886476358295,1.8281943454140903,3.4663242049803253
O,3.2500000000000004,1.5,0.0,0.1,2.25,2.86,-0.6099999999999999,damage-before-nonreturn,5.018251401170293,10.16416547513593,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.05,0.0,0.1,,,,no-transition,0.45285608838485825,0.0,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.15357142857142858,0.0,0.1,,,,no-transition,1.2041021601888973,0.0,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.2571428571428571,0.0,0.1,,,,no-transition,1.8159034092890673,0.0,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.3607142857142857,0.0,0.1,3.44,,,damage-only,2.3399951578311002,0.3115064385939925,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.46428571428571425,0.0,0.1,3.2800000000000002,,,damage-only,2.8011551282414784,0.9308596440395273,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.5678571428571428,0.0,0.1,3.16,,,damage-only,3.214204820747481,1.7462238674413362,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.6714285714285715,0.0,0.1,3.0500000000000003,3.56,-0.5099999999999998,damage-before-nonreturn,3.588854470506036,2.708328827276992,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.775,0.0,0.1,2.93,3.37,-0.43999999999999995,damage-before-nonreturn,3.931796965686353,3.787150477094665,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.8785714285714286,0.0,0.1,2.82,3.24,-0.4200000000000004,damage-before-nonreturn,4.248036203456689,4.961907520480882,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,0.9821428571428571,0.0,0.1,2.7,3.13,-0.4299999999999997,damage-before-nonreturn,4.541105650801936,6.216458112858565,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,1.0857142857142856,0.0,0.1,2.58,3.0300000000000002,-0.4500000000000002,damage-before-nonreturn,4.813583988219777,7.537057338970848,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,1.1892857142857143,0.0,0.1,2.46,2.93,-0.4700000000000002,damage-before-nonreturn,5.067271105046043,8.910745953093418,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,1.292857142857143,0.0,0.1,2.35,2.83,-0.48,damage-before-nonreturn,5.303612065236586,10.325178249540945,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,1.3964285714285714,0.0,0.1,2.23,2.73,-0.5,damage-before-nonreturn,5.523680134099534,11.76852801690299,1.8281943454140903,3.4663242049803253
O,3.6000000000000005,1.5,0.0,0.1,2.12,2.64,-0.52,damage-before-nonreturn,5.728503951728038,13.229863234226224,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.05,0.0,0.1,,,,no-transition,0.49727084865449045,0.0,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.15357142857142858,0.0,0.1,,,,no-transition,1.3256624370899426,0.0,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.2571428571428571,0.0,0.1,,,,no-transition,2.004603732646451,0.05162143791569663,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.3607142857142857,0.0,0.1,3.33,,,damage-only,2.589543974952675,0.5615295767973961,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.46428571428571425,0.0,0.1,3.2,,,damage-only,3.107188188466072,1.3851611599743539,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.5678571428571428,0.0,0.1,3.08,3.52,-0.43999999999999995,damage-before-nonreturn,3.5732104183114934,2.4251783391803885,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.6714285714285715,0.0,0.1,2.97,3.3200000000000003,-0.3500000000000001,damage-before-nonreturn,3.9978909150412067,3.6309060953971763,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.775,0.0,0.1,2.85,3.19,-0.33999999999999986,damage-before-nonreturn,4.388437674214759,4.970563480069589,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.8785714285714286,0.0,0.1,2.73,3.08,-0.3500000000000001,damage-before-nonreturn,4.750152448407717,6.421765290302073,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,0.9821428571428571,0.0,0.1,2.61,2.98,-0.3700000000000001,damage-before-nonreturn,5.0867249595661175,7.966923253218283,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,1.0857142857142856,0.0,0.1,2.49,2.87,-0.3799999999999999,damage-before-nonreturn,5.4009049971273795,9.590496534205366,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,1.1892857142857143,0.0,0.1,2.36,2.77,-0.41000000000000014,damage-before-nonreturn,5.69450930412552,11.277565326175814,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,1.292857142857143,0.0,0.1,2.24,2.67,-0.4299999999999997,damage-before-nonreturn,5.968975131653826,13.01353718604822,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,1.3964285714285714,0.0,0.1,2.12,2.57,-0.44999999999999973,damage-before-nonreturn,6.225360381245227,14.78429088591247,1.8281943454140903,3.4663242049803253
O,3.9500000000000006,1.5,0.0,0.1,2.0,2.47,-0.4700000000000002,damage-before-nonreturn,6.464735598403726,16.576644516700984,1.8281943454140903,3.4663242049803253
O,4.3,0.05,0.0,0.1,,,,no-transition,0.5417397117244809,0.0,1.8281943454140903,3.4663242049803253
O,4.3,0.15357142857142858,0.0,0.1,,,,no-transition,1.4478112077761465,0.0,1.8281943454140903,3.4663242049803253
O,4.3,0.2571428571428571,0.0,0.1,3.5,,,damage-only,2.194924177257897,0.15521337589424944,1.8281943454140903,3.4663242049803253
O,4.3,0.3607142857142857,0.0,0.1,3.2600000000000002,,,damage-only,2.8420565884386555,0.8580043398544207,1.8281943454140903,3.4663242049803253
O,4.3,0.46428571428571425,0.0,0.1,3.13,,,damage-only,3.417595062965045,1.8972975558610796,1.8281943454140903,3.4663242049803253
O,4.3,0.5678571428571428,0.0,0.1,3.02,3.3200000000000003,-0.30000000000000027,damage-before-nonreturn,3.9381730668128263,3.17602984015276,1.8281943454140903,3.4663242049803253
O,4.3,0.6714285714285715,0.0,0.1,2.9,3.18,-0.28000000000000025,damage-before-nonreturn,4.414665799524392,4.641521906827943,1.8281943454140903,3.4663242049803253
O,4.3,0.775,0.0,0.1,2.7800000000000002,3.0700000000000003,-0.29000000000000004,damage-before-nonreturn,4.854761674315623,6.260027374443839,1.8281943454140903,3.4663242049803253
O,4.3,0.8785714285714286,0.0,0.1,2.66,2.96,-0.2999999999999998,damage-before-nonreturn,5.26390305061943,8.007484803618244,1.8281943454140903,3.4663242049803253
O,4.3,0.9821428571428571,0.0,0.1,2.5300000000000002,2.85,-0.31999999999999984,damage-before-nonreturn,5.646080389887317,9.864591783484997,1.8281943454140903,3.4663242049803253
